,store,sido,gungu,store_address
1021,호계사거리점,경기도,안양시동안구,경기도 안양시동안구 경수대로507번 13
1022,호원점,경기도,의정부시,경기도 의정부시 신흥로 119번길 54
1023,홍도점,대전광역시,동구,대전광역시 동구 홍도로 20
1024,홍성2점,충청남도,홍성군,충청남도 홍성군 홍성읍 조양로 190
1025,홍성주공점,충청남도,홍성군,충청남도 홍성군 홍성읍 문화로72번길 92
1026,홍은동점,서울특별시,서대문구,서울특별시 서대문구 모래내로 364(홍은동)
1027,홍익대점,서울특별시,마포구,"서울특별시 마포구 독막로22길 21, 1층101호(창전동)"
1028,홍익점,경기도,안성시,경기도 안성시 금광면 종합운동장로 132
1029,화곡1점,서울특별시,강서구,"서울특별시 강서구 월정로28길 28, 1층4호 (화곡동)"
1030,화봉.연암점,울산광역시,북구,울산광역시 북구 송내1길 18(화봉동)
1031,화북점,제주특별자치도,제주시,제주특별자치도 제주시 진동로3길 34
1032,화서점,경기도,수원시팔달구,경기도 수원시팔달구 팔달로127번길 16-4(화서동)
1033,화성마도점,경기도,화성시,경기도 화성시 마도면 석교로 171
1034,화성시청점,경기도,화성시,경기도 화성시 남양읍 역골로 3-20 
1035,화순점,전라남도,화순군,전라남도 화순군 화순읍 광덕로 142
1036,화양동점,서울특별시,광진구,"서울특별시 광진구 능동로13길 70(화양동, 1층)"
1037,화원점,대구광역시,달성군,대구광역시 달성군 화원읍 성암로 16-38
1038,화천점,강원도,화천군,강원도 화천군  화천읍 중앙로4 13-10
1039,환호점,경상북도,포항시북구,경상북도 포항시북구 삼호로 458
1040,황간점,충청북도,영동군,충청북도 영동군 황간면 남성1길 3
1041,황성점,경상북도,경주시,경상북도 경주시 용담로92번길 43-4
1042,황제점,대구광역시,서구,대구광역시 서구 서대구로8길 58
1043,회원교방점,경상남도,창원시마산회원구,경상남도 창원시마산회원구 회원남로 39-1
1044,횡성점,강원도,횡성군,강원도 횡성군 횡성읍 태기로 35
1045,횡성중앙점,강원도,횡성군,"강원도 횡성군 횡성읍 문정로19번길, 13-3"
1046,효가리점,강원도,동해시,"강원도 동해시  청운로 71(쇄운동, 104)"
1047,효돈점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 하신상로 29
1048,효성1점,인천광역시,계양구,인천광역시 계양구 아나지로 173
1049,효성2점,인천광역시,계양구,인천광역시 계양구 안남로 573번길3
1050,효자점(포항),경상북도,포항시남구,경상북도 포항시남구 효자로118번길 27
1051,후곡점,경기도,고양시일산서구,"경기도 고양시일산서구 강선로 140, 107(일산동, 태영상가)"
1052,후평2동점,강원도,춘천시,"강원도 춘천시 후만로 37, 1층1호(후평동, 주공6단지A)"
1053,후포점,경상북도,울진군,경상북도 울진군 후포면 후포리 623-130
1054,훼미리점,서울특별시,송파구,"서울특별시 송파구 중대로 24(문정동, 훼미리상가125호)"
1055,휴먼시아점,서울특별시,금천구,"서울특별시 금천구 금하로1가길 28 (독산동,지상1층)"
1056,흑석동점,서울특별시,동작구,"서울특별시 동작구 흑석로7길 6-1, 1층102호(흑석동)"
1057,흥업점,강원도,원주시,강원도 원주시 흥업면 남원로 82
1058,흰돌점,경기도,고양시일산동구,경기도 고양시일산동구 일산로 11 
1059,CNTTEST,00,18,00 18 신사동 주소
